date,close
2016-07-15,8541.4004
2016-07-18,8508.7002
2016-07-19,8528.5498
2016-07-20,8565.8496
2016-07-21,8510.0996
2016-07-22,8541.2002
2016-07-25,8635.6504
2016-07-26,8590.6504
2016-07-27,8615.7998
2016-07-28,8666.2998
2016-07-29,8638.5000
2016-08-01,8636.5498
2016-08-02,8622.9004
2016-08-03,8544.8496
2016-08-04,8551.0996
2016-08-05,8683.1504
2016-08-08,8711.3496
2016-08-09,8678.2500
2016-08-10,8575.2998
2016-08-11,8592.1504
2016-08-16,8642.5498
2016-08-17,8624.0498
2016-08-18,8673.2500
2016-08-19,8666.9004
2016-08-22,8629.1504
2016-08-23,8632.5996
2016-08-24,8650.2998
2016-08-25,8592.2002
2016-08-26,8572.5498
2016-08-29,8607.4502
2016-08-30,8744.3496
2016-08-31,8786.2002
2016-09-01,8774.6504
2016-09-02,8809.6504
2016-09-06,8943.0000
2016-09-07,8917.9502
2016-09-08,8952.5000
2016-09-09,8866.7002
2016-09-12,8715.5996
2016-09-14,8726.5996
2016-09-15,8742.5498
2016-09-16,8779.8496
2016-09-19,8808.4004
2016-09-20,8775.9004
2016-09-21,8777.1504
2016-09-22,8867.4502
2016-09-23,8831.5498
2016-09-26,8723.0498
2016-09-27,8706.4004
2016-09-28,8745.1504
2016-09-29,8591.2500
2016-09-30,8611.1504
2016-10-03,8738.0996
2016-10-04,8769.1504
2016-10-05,8743.9502
2016-10-06,8709.5498
2016-10-07,8697.5996
2016-10-10,8708.7998
2016-10-13,8573.3496
2016-10-14,8583.4004
2016-10-17,8520.4004
2016-10-18,8677.9004
2016-10-19,8659.0996
2016-10-20,8699.4004
2016-10-21,8693.0498
2016-10-24,8708.9502
2016-10-25,8691.2998
2016-10-26,8615.2500
2016-10-27,8615.2500
2016-10-28,8638.0000
2016-11-01,8626.2500
2016-11-02,8514.0000
2016-11-03,8484.9502
2016-11-04,8433.7500
2016-11-07,8497.0498
2016-11-08,8543.5498
2016-11-09,8432.0000
2016-11-10,8525.7500
2016-11-11,8296.2998
2016-11-15,8108.4502
2016-11-16,8111.6001
2016-11-17,8079.9502
2016-11-18,8074.1001
2016-11-21,7929.1001
2016-11-22,8002.2998
2016-11-23,8033.2998
2016-11-24,7965.5000
2016-11-25,8114.2998
